WigleWifi-1.4,appRelease=2.26,model=Le X820,release=6.0.1,device=le_x2,display=X820_23S_MM_ROW_CUOCO92,board=msm8996,brand=LeEco
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
f0:b0:52:3e:d4:5c,Ariel_University,[ESS],2017-11-09 13:20:35,58,-81,32.10520332,35.20722016,669,5,WIFI
f0:b0:52:3e:d0:3c,Ariel_University,[ESS],2017-11-09 13:20:35,36,-85,32.10520332,35.20722016,669,5,WIFI
f0:b0:52:3e:da:1c,Ariel_University,[ESS],2017-11-09 13:20:35,58,-89,32.10520332,35.20722016,669,5,WIFI
f0:b0:52:3e:da:18,Ariel_University,[ESS],2017-11-09 13:20:35,6,-83,32.10520332,35.20722016,669,5,WIFI
ec:8c:a2:08:aa:d8,Ariel_University,[ESS],2017-11-09 13:20:35,6,-78,32.10520332,35.20722016,669,5,WIFI
ec:8c:a2:08:aa:dc,Ariel_University,[ESS],2017-11-09 13:20:35,36,-83,32.10520332,35.20722016,669,5,WIFI
ec:8c:a2:08:95:8c,Ariel_University,[ESS],2017-11-09 13:20:35,36,-85,32.10520332,35.20722016,669,5,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],2017-11-09 13:20:35,44,-67,32.10520332,35.20722016,669,5,WIFI
f0:b0:52:3e:d1:e8,Ariel_University,[ESS],2017-11-09 13:20:35,1,-74,32.10520332,35.20722016,669,5,WIFI
f0:b0:52:3e:d0:38,Ariel_University,[ESS],2017-11-09 13:20:35,11,-89,32.10520332,35.20722016,669,5,WIFI
f0:b0:52:3e:d4:5c,Ariel_University,[ESS],2017-11-09 13:21:28,58,-68,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:d0:3c,Ariel_University,[ESS],2017-11-09 13:21:28,36,-68,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:da:1c,Ariel_University,[ESS],2017-11-09 13:21:28,58,-80,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:d0:38,Ariel_University,[ESS],2017-11-09 13:21:28,11,-61,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:c8:dc,Ariel_University,[ESS],2017-11-09 13:21:28,44,-76,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:ca:3c,Ariel_University,[ESS],2017-11-09 13:21:28,48,-86,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS],2017-11-09 13:21:28,44,-87,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],2017-11-09 13:21:28,6,-62,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:c7:b8,Ariel_University,[ESS],2017-11-09 13:21:28,1,-69,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],2017-11-09 13:21:28,11,-80,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],2017-11-09 13:21:28,6,-77,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:c7:bc,Ariel_University,[ESS],2017-11-09 13:21:28,44,-64,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:ca:dc,Ariel_University,[ESS],2017-11-09 13:21:28,36,-76,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:d1:ec,Ariel_University,[ESS],2017-11-09 13:21:28,40,-82,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],2017-11-09 13:21:28,48,-83,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:d1:3c,Ariel_University,[ESS],2017-11-09 13:21:28,44,-87,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:da:18,Ariel_University,[ESS],2017-11-09 13:21:28,6,-68,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:c8:d8,Ariel_University,[ESS],2017-11-09 13:21:28,11,-73,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:d8:e8,Ariel_University,[ESS],2017-11-09 13:21:28,6,-74,32.10522654,35.20719981,671,3,WIFI
f0:b0:52:3e:d0:08,Ariel_University,[ESS],2017-11-09 13:21:28,6,-76,32.10522654,35.20719981,671,3,WIFI
